task,display_name,category,category_display_name,source,dimension,logged_samples,optimizer,global_minimum_objective,oracle_utility,query_count,recommendation_count,cumulative_simulated_cost,raw_max_utility,raw_median_utility,raw_mean_utility,refnorm_max_score,refnorm_median_score,refnorm_mean_score,regret,best_objective,median_objective,mean_objective,candidate_diversity,candidate_novelty
ackley,Ackley,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,best_logged,0.0,-0.0,0,64,0.0,-6.242062380182823,-18.405867958483633,-17.20585781549628,1.0,0.23629690159840178,0.3116393968737009,6.242062380182823,6.242062380182823,18.405867958483633,17.20585781549628,0.2858122343944184,0.0
ackley,Ackley,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,coms,0.0,-0.0,0,64,0.0,-5.711124182637267,-10.004249922148224,-9.072521147637566,1.0333348921038856,0.7637914989621009,0.8222899801638297,5.711124182637267,5.711124182637267,10.004249922148224,9.072521147637566,0.05265363640481464,0.0042099283063659655
ackley,Ackley,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,bdi,0.0,-0.0,0,64,0.0,-0.34594104324044084,-1.467285253467932,-1.7778025865854068,1.3701872826385384,1.2997838186722015,1.2802880245407777,0.34594104324044084,0.34594104324044084,1.467285253467932,1.7778025865854068,0.003977343504059556,0.030141211535197113
bukin6,Bukin N. 6,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,best_logged,0.0,-0.0,0,64,0.0,-7.014049276328485,-62.49505209878026,-58.87176422959254,1.0,0.7335452130699728,0.7509465278994855,7.014049276328485,7.014049276328485,62.49505209878026,58.87176422959254,0.37913730747048485,0.0
bukin6,Bukin N. 6,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,coms,0.0,-0.0,0,64,0.0,-9.371476554405563,-17.13050898146534,-16.704444272072255,0.9886781465523751,0.9514143764876648,0.9534606080909946,9.371476554405563,9.371476554405563,17.13050898146534,16.704444272072255,0.04000406960441132,0.019880381327831115
bukin6,Bukin N. 6,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,bdi,0.0,-0.0,0,64,0.0,-37.54397394364435,-60.969105635419936,-64.80153970383256,0.8533760357891825,0.7408737709380141,0.722468004077776,37.54397394364435,37.54397394364435,60.969105635419936,64.80153970383256,0.3518745252128358,0.03217862412220116
cross_in_tray,Cross-in-Tray,many_local_minima,Many Local Minima,local,2,256,best_logged,-2.0626118708,2.0626118708,0,64,0.0,2.055146053036294,1.8070895800362043,1.8184191349866254,1.0,0.810890681460581,0.8195279259965389,0.0074658177637059175,-2.055146053036294,-1.8070895800362043,-1.8184191349866254,0.3106646826348992,0.0
cross_in_tray,Cross-in-Tray,many_local_minima,Many Local Minima,local,2,256,coms,-2.0626118708,2.0626118708,0,64,0.0,2.060305402741688,2.0463663649525854,2.0354650382913104,1.003933302344798,0.9933066821017881,0.9849959033861342,0.002306468058312028,-2.060305402741688,-2.0463663649525854,-2.0354650382913104,0.06892621828745422,0.00535035570115613
cross_in_tray,Cross-in-Tray,many_local_minima,Many Local Minima,local,2,256,bdi,-2.0626118708,2.0626118708,0,64,0.0,1.9731162738306336,1.9322777943595542,1.9166834642922752,0.9374634515362318,0.9063296660334481,0.8944411105910718,0.08949559696936649,-1.9731162738306336,-1.9322777943595542,-1.9166834642922752,0.01011780490560379,0.022100716043286173
drop_wave,Drop-Wave,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,best_logged,-1.0,1.0,0,64,0.0,0.9019111856684706,0.2804364691285367,0.32636611461999454,1.0,0.3109184423651166,0.3618445232088867,0.09808881433152938,-0.9019111856684706,-0.2804364691285367,-0.32636611461999454,0.35439640982305715,0.0
drop_wave,Drop-Wave,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,coms,-1.0,1.0,0,64,0.0,0.9352652645918035,0.37231018297590185,0.4049379535383816,1.0369824870526172,0.41278659590177935,0.44896376347268635,0.06473473540819652,-0.9352652645918035,-0.37231018297590185,-0.4049379535383816,0.021306311377171577,0.01754388186909057
drop_wave,Drop-Wave,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,bdi,-1.0,1.0,0,64,0.0,0.9358734126055437,0.22198391193107866,0.2523266007409235,1.03765679216822,0.24610715062726793,0.279750654878458,0.06412658739445631,-0.9358734126055437,-0.22198391193107866,-0.2523266007409235,0.005788278578674742,0.05210144296002427
eggholder,Eggholder,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,best_logged,-959.6406627209,959.6406627209,0,64,0.0,877.0949647422369,314.0306426782232,359.5416916849621,1.0,0.6479422257357296,0.6763981551737932,82.54569797866304,-877.0949647422369,-314.0306426782232,-359.5416916849621,0.5755768585738656,0.0
eggholder,Eggholder,many_local_minima,Many Local Minima,bayeso-benchmarks,2,256,coms,-959.6406627209,959.6406627209,0,64,0.0,857.3589864522572,-44.96655819512189,39.42436670277026,0.9876600162407231,0.42347807385468705,0.4762437704606201,102.28167626864274,-857.3589864522572,44.96655819512189,-39.42436670277026,0.6683750215565519,0.03618986555521317
